leader,epoch,num_slots
HFTcVVrX93SJwYHAiiHAssb3c4zXqSsF4mNjg5arGPEj,668,84
EuFGYR8gvg5SknEnYj8iGneaHWNkGvhYrE5ydvXvLpfX,668,212
7MTjmteQHhthwwTZhUzsc2dP4NBvGNRqj8jzdqNxHFGE,668,72
5p8qKVyKthA9DUb1rwQDzjcmTkaZdwN97J3LiaEywUjd,668,160
BdoWLiPQSizJiHHS6WKHNW2cFZ4yNyidGcSkzkm1n3oH,668,28
ECNnK4VjcKTsABiw8FAp3JCE6tCmYyrEJthYVyMazmxi,668,52
taMC6aAXEBNHnUjrBegBfAi1Kvph9bZUVcUoc4GtobS,668,36
uEhHSnCXvWgtgvVaYscPHjG13G3peMmngQQ2ghC54i3,668,276
5XKJwdKB2Hs7pkEXzifAysjSk6q7Rt6k5KfHwmAMPtoQ,668,184
8vvCiFNbZJCVuaCZxCAbAG58Kmzk7NUnDCh62xWerZLb,668,44
BqrghcEtguLQpy8Pzf6FUuDyPxD4sbs7CzggfJ3PiGAp,668,4
8TmL4ympgFZJb5xeeEDcT82UAkZRBmZY72qzTMXJR29D,668,60
BKw6h4WX1TttGQbTSULtKcVaEp6nzPxQGHexHiX27atH,668,48
2xKovmftuWNTwCWGtw2Cc6aZovgMZyKaoKK68n1ZLmww,668,36
7PdKhpKz7T39vZHFL1UfcYNDsLvay6hp4KPQq1aUckFf,668,964
7ek3CDbxpGRdCVTJJpj6WPHmZrJqBCQ2RBQoqLHitx5L,668,20
mds2yZwWrRhcNa1489wgRE1G9huetwJjD1NKP7PbNbm,668,60
5DbifLTeWTZCPRBntnnrsGPVXoPWzomDJ1sTPiWMS12n,668,24
8AkVj5aAtJ27tYXeq89cnSf68V43NarFHMx2iSDjZv7c,668,136
Frdg1NUoQaaTmASWNTrtDrBU5PbTnWtUvtdCr1XPNn1c,668,56
Ap6kBVijRQTXru64yEy1ax4RMzsoJHxrJtXQXi76kd6L,668,44
Ez4heEN9SzxrjgYA7wBWK8FwxAuYXnmwALADGfpB32E6,668,40
mds4GEuiSgQRqveGyktWpETBFCb4AS2wDnhqwLHcT6Z,668,404
DqRT482tSPAyo9LAyXnqT1wgPFVwFTVFrT5oH1Wv2gyx,668,76
Hb6N8QrXst4DQCS1U8neQLQio5Zk5mn9zjnWQGSRHVSL,668,64
2E2JPuFhjkQvEJEeNGqVSwGLJa5GoFqabQTutGjg1bzw,668,188
CVAAQGA8GBzKi4kLdmpDuJnpkSik6PMWSvRk3RDds9K8,668,52
RhoAkvPz4uJY6F5EnmBSHnFFEeyA9rt9Rvp95G6HraT,668,48
4UwqrkGpterTBEvREHWNcM2vvHvpqYvViPLVZo8673Xi,668,48
5rNErxSxMj3WysMx8bC8vHkbrt9QmwMeG9H6aTp71485,668,44
6AJXcQ1HTNuwMdsSJC2cJ3RU4SY1P8PARS6iNfw9vk1V,668,32
Asju9nresVBNjVMygiCUZCgWJVi7reT8aHE6PMc2tTha,668,44
N2ARmakUWwDStHXxiBxj7V3eMA76vZ5eUWDcsb4CXdx,668,36
3qmEGZpEUFYxXiLU5CZjSaUy2X28oV51qVLenKEutYDe,668,60
GijCqhamYxPnGyVjpwno7gvtE68CtP49wbRLA1QFcVgh,668,36
HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,668,2352
H5UNEGZvmrSyHNDzqDFkyr2WaVAPPMvkgB4PtFxvfcEC,668,8
Tri1F8B6YtjkBztGCwBNSLEZib1EAqMUEUM7dTT7ZG3,668,248
BMJE6zFwTXwPopVdG1ccYMLWWGd5aNPvm5offrqHUxXV,668,32
BwxhmqZRmVKfDkhb3ZvNUVdrLZXQBumMrvexoYrViAoU,668,64
CoGag5j1bx21KY2s5fyym96UTDV3GouoLz24g1ZXMh6q,668,24
scb1MyTW9a9kHW8ZdkMbFdkn12GH5PXtwNd6C9cnerb,668,80
2XvCc3uuXZpEbRZVNYhxPCGAznTXB6FcDt3AzAeVWggV,668,52
akMRrEs7bjjWWLPD57ghDiDBE6p75vDaigdPVcGajf5,668,40
7CR3Jq4ny2tsr3DX3DvyjoU8TYs776MGkU6nLMWjAqCT,668,448
2EutAcbv7T8it6PfPQ7HbK2KFMnMC6anwkX6C3RifE5M,668,96
9Mgsqzth1dguCQQRdV7acbT2hcTPq3k7TEv1KM1Q38D4,668,192
4vXCtYfPeracuQg3a67Zx4jvtJco6MU3LKip8ax6GkVq,668,48
2FtwoBFTBFt4FKpeQAh1otggKPhPHh1Aka2dQ7LvyKyD,668,24
2oujYrRmtDDTF3b3JUgsZ34TkcyrozMjgRHBQE9R6K8i,668,28
5LpsYxnc9m9E3ZZDa9EiqHqr3VcJW418kmMK4N7JHSL8,668,52
4Kbcyn7JVPAWLRLPsNGTPmcNMvCkLTw51ZLRhqsUC6jP,668,44
A95EBv1isSrZteiN6pq7Z19y9Bvw2fjHRtPdn4QsprDW,668,132
23U4mgK9DMCxsv2StC4y2qAptP25Xv5b2cybKCeJ1to3,668,628
B94PGWcxE9iEDov8sZobTkqEY96Yb5gfcsYWSWpQxh6S,668,68
Bnqie7FYWudbSuBjyRHzoKQrz7eGFxmY9wFAMQKKQjEe,668,184
Aho3hF8mqLmadyJdUFpoGidyo3fYAt3ALm2QpAo8wMX,668,36
GwnQsVbbVsMhGqWV3gcVCF1364LRmftggyc5SmsYMLrY,668,28
AJKjJQXNPYe7ZUfpPMfsKkav7f76cjnhuyMcRr36qpWr,668,32
ExUKHLfE4hNEsTx1TN4YWxfpzkGv3eVujcVp6Ft26mAP,668,32
2x3pmdwex3s71i8c4VvnHCnYTwXtqPU1LgdX5BLDtN9L,668,36
BGTCCVF7nmLeGpDWp4xPCieyF242tUHUa8LgVcLBMobw,668,84
6haHPNUCV3D5aG4aUpW2s5L1AvKWFmejcUXm6v3x5tK9,668,4
7VAxhRUMuGWf5sfE51pjjFmydcER3dfaXv3G6ia2Pr74,668,260
G35uLP74uj4eCSfMs17ePKtK1ThuH8JKebAP1T2y6CYw,668,48
JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,668,4644
CsCYF1cNqRR7CEvUJcBToFXink5m9JbNWHMAcSSaZ4pJ,668,28
DRvqSY8pMgWPMPpNMnof4S25qp6VySBC4hcvi9EBu4ZP,668,52
4QPDHzck5VbGf2cxNM3KNTw1beryrUxb8TTvjgjovX4B,668,32
4n2or6zoFFSJnzihG8NEHsqHQ7W39SVDs5gYeijc8u5d,668,48
BWungpcnz1j9CFuxk1oXtLZ42WgnRpGmYxS9ZVaoQ3hJ,668,28
6xryev46buDGaqHWkJKuRGfpFxXmKip14fVy37Qn6Dz8,668,40
Frog1Fks1AVN8ywFH3HTFeYojq6LQqoEPzgQFx2Kz5Ch,668,884
farbZXR7aBQSMCYiUXzoS4pRUsvuCZ38f6AXMXiKACf,668,64
Cu9Ls6dsTL6cxFHZdStHwVSh1uy2ynXz8qPJMS5FRq86,668,252
CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,668,36
DVkqm5ufZAQFtvXocMBtVux2P56tM4FmVoyemWXiBWTe,668,4
GdwLVjtBMZEXZiLV5iNnzSgunYmr1D4Fz2CDcEsT6HA2,668,48
9z7sdEnttp9T9bzoRZumMcKWCU76RdmrFPi42km7Twb8,668,76
Dx1VZXPvXiAj4wydmDGdizkwvwpQXVSTfeVz3JS3xavj,668,164
EK26xTH6QLS5uubx12av6XrmKH2eotCwAG9r7SBhbhGb,668,36
FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,668,932
DEyaaKr3BS6j7MEXbeQrZz74rN3YFoSbCgbJ5GGMzCLV,668,36
HKjEo1L2wwiJg5bE7mQQq14t98mRSfbQfrCWTYceScP8,668,48
AqWyFBjkRQ4ipHWaJb3zirSb7rHdrbw8N7KqiL5tx12z,668,28
Gb2M4Ee5ciut3Cc3toG6UrXJohPPiLcT3RkUaDU7dHp2,668,216
Goo7uPA1ASVX2Ws4JW1eAjQxBcTtjMdpAHBtPBzi8yN6,668,280
451X5rboJpJtXK2gj4dLsXv8yCGfujqus2HsYjMkkSpE,668,48
J1xEijrZvidXX8eF9gnHprucjeMAASZ2tYkY1GXF91Tq,668,32
2PawEGWYNpMF6a9daRSVbUgWZw3PkLeY5VR31sKu5MYx,668,20
FSVdqBzx5D4UsqBLnvmH5dFx2dCm1pTPAbQWJ1PYzTJ2,668,324
E3uWZFRYyKuC78U1FaGNEvxKgbBshRmuTRQbWhe9eSFW,668,40
FVZLnRhj9Gjf77CtDFvh7jNu8avAnduJW5m365HrDLfD,668,32
722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp,668,2968
CNRyYnXZjryxNdSUwztdmVFVuQPXvugQ1d2wtRTjjTb3,668,40
HYZbBUjBYX3b3UkkcxTS8jR5h19i28MbyL7SsB5HWNCc,668,68
mrgn28BhocwdAUEenen3Sw2MR9cPKDpLkDvzDdR7DBD,668,532
DQdBrXwhQfto36sZRLf55wD5jwd6d5bJurNCM2KwXBQu,668,48
