decimals,volume24hUSD,price24hChangePercent,address,fdv,liquidity,marketcap,name,rank,price,symbol,ts,volume24hChangePercent,logoURI
6,2013.4951679658968,-1.0030069229977556,2ef3P4D6tsFT1NDUJzbDVn89GFnZwmsudPGcDqj9pump,3786.9122052528605,3799.6588969011336,3786.9122052528605,GOONERS NEVER DIE!,940,3.7869122052528607e-06,GND,1741096803,,https://ipfs.io/ipfs/QmcWn5tZ2zss2qQPrqD9Sb43fuTnwDG2AAkpdm6pnTT4qN
9,223.92917612994094,,8FydE3TFpbwBjfUDkyK96cECSY5razFxpBr5mnaimoon,3835.3550752322467,3831.7724902151253,3835.3550752322467,1$ to become a millionaire ,939,,Milions ,1741096803,,https://cdn.dexscreener.com/cms/images/Nnsz_r-dul3C4Jpx
6,13618.183369009588,-6.516101537782565,BA1rmJA9SMsETuCXoMYZPCZwAZHZemDNHbUcxYZHpump,3912.803925163015,3912.894313354895,3912.803925163015,Pwese Recover Any Yield,938,3.912803925205089e-06,PRAY,1741096803,,https://ipfs.io/ipfs/QmatcNedEYdL4yptdzJPduDAD1b5UUjRepeRpZWR8rA5j2
6,2405.633254258223,-1.3595473401099887,5FXRuWX7EMtqQ8d13xA95RC3dKcr5QdNXW9nHSjzpump,3818.4222534281816,3818.5900792694442,3818.4222534281816,NEW DISNEY MASCOT,937,3.818422253428182e-06,THUMPER,1741096803,,https://ipfs.io/ipfs/QmYfWFxFbqVGuMKsBGbgeJZQELQwsvXod6TGV1BQoSboie
6,48133.806664993426,88.51634620174232,FUyhRXQ44oNR3h5aUBoBwfDm6JRFLKBiLd1FWctUpump,15305.701489643572,11564.567206184207,15305.701489643572,Sir Waddleton,936,1.5322030244214668e-05,WADDLE,1741096803,-100,https://pump.mypinata.cloud/ipfs/QmQ1X59zM5sn9pY9tA8e45hxu5TfAq87sTumGAGyaug7NN
6,1846.5160839707569,-3.71121162120458,EJK7bcVALL7uTKDC5YfDjBgwT2kdHFJiwGqnQ5kpump,3813.416586435275,3814.3083863753764,3813.416586435275,IN-N-OUT,935,3.813416586435275e-06,INO,1741096803,,https://ipfs.io/ipfs/QmbEn3PuPkDfYPHDmGCVCZCTuvn45BAg7KEkF9t2r4UHtQ
6,14614.793198712963,39.90172547780563,BXNGghGbqrt2PcM3Y2Une5fD4kbU6VVSPC4uPjf8pump,673348.1662543924,77970.57088376097,673348.1662543924,FYBNAPP,934,0.0006736152748764076,FYBN,1741096803,2230.3924362765406,https://ipfs.io/ipfs/QmQ4yxeKXzb7eS6ZDCQfD9S9Q48J75YWDW5RoJVZ1zEdkn
6,15987.499463772518,-10.049368924168355,BRV7NCy5hrLKUhpSQcUiankFCyaP1a76btsW2uE6pump,3873.922826116861,3885.262563988157,3873.922826116861,pepe frud,933,3.873922826116861e-06,PRUD,1741096803,,https://ipfs.io/ipfs/QmfRqLsCsYuZPe761CNNgcFNG5irMfHEiqX4MJfeEzaYbt
6,2551.726766892635,-3.7367650814912547,94vNH3HhLv42gfkF93n9EQq9vyHPKRZ5XG6U3HmDpump,9228.891895979585,10773.465658392215,9228.891895979585,MEMECOINS ARE A CASINO,932,9.23225374533551e-06,CASINO,1741096803,-79.52951990134599,https://ipfs.io/ipfs/QmcV1CuQ2xq8cv8hhtqFRhdXpzk4juzkUZd3Gtyv5iumzV
6,2068.683582199808,-1.2765408796076392,8dKhBWWQbV4uSvsgQDJfaah8b5GtYBGgvpA1JHGspump,3873.468516707689,3876.118371092633,3873.468516707689,Sorsa.io,931,3.873468516707689e-06,SOR,1741096803,,https://ipfs.io/ipfs/QmbWmPf93FAgt8cgm4EaWoVMLqmH4eBtctxSoZ2Xo2KRdG
9,2958.6348986821995,13.0659193661147,64iroUqB2u9HdRrYrgwPkvZAUZr2DEupPwW3MBzeFALX,24745.119860026054,15268.404458222423,24745.119860026054,SOL NINJA,930,2.7701008928974867e-05,NINJ,1741096803,203.34411909874336,https://purple-causal-bass-212.mypinata.cloud/ipfs/QmXQTTN37zjSuGEpF4HigdGmMPboZNecFu9UWTEGFPtQbr
6,3738.4241126823686,3.279792253774545,DVw3t68Ne9oYR3UBX3PvmZ9LvNb2hYLCTJ6GsXsGpump,8762.090258171758,7646.8770675104715,8762.090258171758,EpochAI,929,8.76212994686248e-06,EpochAI,1741096803,,https://ipfs.io/ipfs/QmQi1ypsriMxwrKGUQsECE6cFB7pZ5xXmhvQDZW1zVG4jC
6,2558.6143904962455,-25.409580167254827,GDDTrQEzmb277fACeUwXyCXDerQAqxqtH4CxK9MGpump,3815.669346497809,3817.092376253643,3815.669346497809,Moonbirds,928,3.815669346497809e-06,MNBRDS,1741096803,,https://ipfs.io/ipfs/QmdL2Vrq3btL1WPqQozS76imtbaVn665K4Z4Jb13Pras8z
